"Eunola town, AL",31.038587,-85.845481
"Eutaw city, AL",32.840605,-87.89148
"Eva town, AL",34.330415,-86.755855
"Evergreen city, AL",31.437392,-86.955023
"Excel town, AL",31.426167,-87.342419
"Fairfield city, AL",33.473,-86.917717
"Fairhope city, AL",30.514468,-87.884052
"Fairview town, AL",34.24679,-86.687441
"Falkville town, AL",34.376935,-86.90972
"Faunsdale town, AL",32.459085,-87.593247
"Fayette city, AL",33.694009,-87.831361
"Five Points town, AL",33.017066,-85.351261
"Flint City town, AL",34.5155,-86.972787
"Flomaton town, AL",31.016388,-87.254564
"Florala city, AL",31.021113,-86.308454
"Florence city, AL",34.82785,-87.665057
"Foley city, AL",30.405662,-87.684233
"Forestdale CDP, AL",33.57925,-86.902874
"Forkland town, AL",32.647569,-87.867223
"Fort Deposit town, AL",31.985854,-86.576236
"Fort McClellan CDP, AL",33.718825,-85.79072
"Fort Payne city, AL",34.453792,-85.69444
"Fort Rucker CDP, AL",31.343401,-85.715143
"Franklin town, AL",32.45525,-85.80279
"Frisco City town, AL",31.434326,-87.403563
"Fruithurst city, AL",33.730255,-85.43186
"Fulton town, AL",31.793557,-87.741064
"Fultondale city, AL",33.617286,-86.80009
"Fyffe town, AL",34.45098,-85.906355
"Gadsden city, AL",34.01,-86.014405
"Gainesville town, AL",32.815274,-88.159585
"Gantt town, AL",31.408724,-86.484638
"Gantts Quarry town, AL",33.148196,-86.299365
"Garden City town, AL",34.014782,-86.750077
"Gardendale city, AL",33.665221,-86.800561
"Gaylesville town, AL",34.267902,-85.558283
"Geiger town, AL",32.873693,-88.313368
"Geneva city, AL",31.036639,-85.876779
"Georgiana town, AL",31.636437,-86.74243
"Geraldine town, AL",34.360848,-86.002983
"Gilbertown town, AL",31.875678,-88.31878
"Glen Allen town, AL",33.884827,-87.744118
"Glencoe city, AL",33.946233,-85.931225
"Glenwood town, AL",31.666077,-86.172433
"Goldville town, AL",33.083497,-85.784431
"Good Hope town, AL",34.110133,-86.864567
"Goodwater city, AL",33.060438,-86.051507
"Gordo city, AL",33.321344,-87.903711
"Gordon town, AL",31.145641,-85.09435
"Goshen town, AL",31.719558,-86.125906
"Grand Bay CDP, AL",30.471944,-88.344293
"Grant town, AL",34.517212,-86.25227
"Graysville city, AL",33.6264,-86.969199
"Greensboro city, AL",32.700618,-87.594062
"Greenville city, AL",31.829719,-86.626699
"Grimes town, AL",31.302097,-85.451108
"Grove Hill town, AL",31.703793,-87.777428
"Guin town, AL",33.96609,-87.910549
"Gulf Shores city, AL",30.270036,-87.70146
"Guntersville city, AL",34.356757,-86.270409
"Gurley town, AL",34.703145,-86.373057
"Gu-Win town, AL",33.958234,-87.871663
"Hackleburg town, AL",34.274181,-87.833697
"Haleburg town, AL",31.410858,-85.138674
"Haleyville city, AL",34.238792,-87.618201
"Hamilton city, AL",34.140314,-87.982764
"Hammondville town, AL",34.56933,-85.638339
"Hanceville city, AL",34.064911,-86.763469
"Harpersville town, AL",33.341799,-86.432691
"Hartford city, AL",31.105115,-85.691343
"Hartselle city, AL",34.436916,-86.939815
"Harvest CDP, AL",34.855619,-86.749894
"Hayden town, AL",33.895328,-86.754358
"Hayneville town, AL",32.182473,-86.578835
"Hazel Green CDP, AL",34.923624,-86.567213
"Headland city, AL",31.351932,-85.343253
"Heath town, AL",31.355101,-86.466878
"Heflin city, AL",33.646285,-85.586732
"Helena city, AL",33.289736,-86.852423
"Henagar town, AL",34.633923,-85.737447
"Highland Lake town, AL",33.889234,-86.423815
"Hillsboro town, AL",34.636721,-87.184584
"Hobson City town, AL",33.617033,-85.851727
"Hodges town, AL",34.327387,-87.926532
"Hokes Bluff city, AL",33.98965,-85.86297
"Holly Pond town, AL",34.174561,-86.617011
"Hollywood town, AL",34.716877,-85.965711
"Holt CDP, AL",33.22955,-87.480949
"Homewood city, AL",33.4648,-86.806999
"Hoover city, AL",33.375332,-86.819037
"Hueytown city, AL",33.4376,-86.997586
"Huguley CDP, AL",32.843119,-85.240673
"Huntsville city, AL",34.707048,-86.627723
"Hurtsboro town, AL",32.239942,-85.414371
"Ider town, AL",34.700676,-85.666937
"Inverness CDP, AL",33.404139,-86.722944
"Irondale city, AL",33.532317,-86.676303
"Jackson city, AL",31.53254,-87.893012
"Jacksons' Gap town, AL",32.884143,-85.816998
"Jacksonville city, AL",33.81065,-85.760774
"Jasper city, AL",33.852042,-87.270067
"Jemison town, AL",32.964998,-86.744068
"Kansas town, AL",33.901778,-87.553343
"Kennedy town, AL",33.581421,-87.985506
"Killen town, AL",34.861501,-87.529349
"Kimberly town, AL",33.768213,-86.804802
"Kinsey town, AL",31.297409,-85.335936
"Kinston town, AL",31.219426,-86.169941
"Ladonia CDP, AL",32.462379,-85.086805
"Lafayette city, AL",32.899542,-85.400846
"Lake Purdy CDP, AL",33.429931,-86.680504
"Lakeview town, AL",34.392209,-85.97327
"Lanett city, AL",32.866205,-85.205117
"Langston town, AL",34.534187,-86.092361
"Leeds city, AL",33.545976,-86.562745
"Leesburg town, AL",34.178976,-85.769101
"Leighton town, AL",34.699553,-87.530673
"Lester town, AL",34.984221,-87.147896
"Level Plains town, AL",31.306357,-85.766718
"Lexington town, AL",34.966032,-87.372872
"Libertyville town, AL",31.243672,-86.460007
"Lincoln city, AL",33.59801,-86.139391
"Linden city, AL",32.301011,-87.792706
"Lineville town, AL",33.312421,-85.752616
"Lipscomb city, AL",33.4261,-86.925422
"Lisman town, AL",32.169306,-88.288072
"Littleville town, AL",34.595005,-87.674038
"Livingston city, AL",32.59881,-88.187144
"Loachapoka town, AL",32.604706,-85.596938
"Lockhart town, AL",31.012731,-86.350243
"Locust Fork town, AL",33.90265,-86.621682
"Louisville town, AL",31.781088,-85.558042
"Lowndesboro town, AL",32.276737,-86.610257
"Loxley town, AL",30.627129,-87.756379
"Luverne city, AL",31.707854,-86.261088
"Lynn town, AL",34.043769,-87.546695
"McIntosh town, AL",31.264812,-88.027882
"McKenzie town, AL",31.543754,-86.716532
"McMullen town, AL",33.147105,-88.176123
"Madison city, AL",34.702904,-86.749679
"Madrid town, AL",31.035769,-85.397282
"Malvern town, AL",31.135872,-85.51944
"Maplesville town, AL",32.785716,-86.878395
"Margaret town, AL",33.687702,-86.47466
"Marion city, AL",32.631553,-87.317598
"Maytown town, AL",33.551128,-86.995717
"Meadowbrook CDP, AL",33.401928,-86.696801
"Memphis town, AL",33.138332,-88.301314
"Mentone town, AL",34.568309,-85.582702
"Meridianville CDP, AL",34.87376,-86.570935
"Midfield city, AL",33.4541,-86.922808
"Midland City town, AL",31.316275,-85.493382
"Midway town, AL",32.074296,-85.520286
"Mignon CDP, AL",33.194043,-86.264008
"Millbrook city, AL",32.4946,-86.367721
"Millport town, AL",33.559467,-88.081194
"Millry town, AL",31.625865,-88.316669
"Minor CDP, AL",33.5253,-86.947612
"Mobile city, AL",30.67745,-88.088959
"Monroeville city, AL",31.516885,-87.327813
"Montevallo city, AL",33.109251,-86.851224
"Montgomery city, AL",32.3544,-86.284287
"Moody town, AL",33.596934,-86.494628
"Moores Mill CDP, AL",34.851888,-86.525755
"Mooresville town, AL",34.626832,-86.879986
"Morris town, AL",33.749733,-86.80534
"Mosses town, AL",32.176151,-86.674589
"Moulton city, AL",34.483899,-87.281139
"Moundville town, AL",32.995882,-87.63066
"Mountainboro town, AL",34.14771,-86.131208
"Mountain Brook city, AL",33.486867,-86.740477
"Mount Vernon town, AL",31.091175,-88.011747
"Mulga town, AL",33.546587,-86.975349
"Muscle Shoals city, AL",34.747117,-87.642039
"Myrtlewood town, AL",32.247111,-87.947127
"Napier Field town, AL",31.315115,-85.455306
"Nauvoo town, AL",33.988466,-87.4878
"Nectar town, AL",33.969026,-86.636264
"Needham town, AL",31.986189,-88.338772
"Newbern town, AL",32.591251,-87.535972
"New Brockton town, AL",31.38097,-85.924398
"New Hope town, AL",34.53914,-86.415896
"New Market CDP, AL",34.909465,-86.425117
"New Site town, AL",33.035225,-85.775012
"Newton town, AL",31.339126,-85.588578
"Newville town, AL",31.42167,-85.3365
"North Courtland town, AL",34.677186,-87.308365
"North Johns town, AL",33.368112,-87.10154
"Northport city, AL",33.244111,-87.592149
"Notasulga town, AL",32.557554,-85.672449
"Oak Grove town, AL",33.186178,-86.302855
"Oak Hill town, AL",31.922139,-87.088129
"Oakman town, AL",33.712982,-87.38847
"Odenville town, AL",33.686021,-86.39837
"Ohatchee town, AL",33.784483,-86.01872
"Oneonta city, AL",33.951165,-86.470595
"Onycha town, AL",31.224328,-86.279091
"Opelika city, AL",32.6542,-85.378805
"Opp city, AL",31.291399,-86.255997
"Orange Beach town, AL",30.284442,-87.590994
"Orrville town, AL",32.30832,-87.245408
"Owens Crossroads town, AL",34.582017,-86.460163
"Oxford city, AL",33.59703,-85.825836
"Ozark city, AL",31.439127,-85.648755
"Paint Rock town, AL",34.660576,-86.328777
"Parrish town, AL",33.733833,-87.280708
"Pelham city, AL",33.30328,-86.794051
"Pell City city, AL",33.560168,-86.272437
"Pennington town, AL",32.196798,-88.052363
"Petrey town, AL",31.849064,-86.20727
"Phenix City city, AL",32.465509,-85.01461
"Phil Campbell town, AL",34.352028,-87.70581
"Pickensville town, AL",33.226646,-88.265574
"Piedmont city, AL",33.927382,-85.615204
"Pinckard town, AL",31.320588,-85.544246
"Pine Apple town, AL",31.873728,-86.987682
"Pine Hill town, AL",31.985636,-87.582518
"Pine Ridge town, AL",34.44439,-85.779667
"Pinson-Clay-Chalkville CD, AL",33.676696,-86.658635
"Pisgah town, AL",34.682152,-85.847759
"Pleasant Grove city, AL",33.489168,-86.975939
"Point Clear CDP, AL",30.489634,-87.904391
"Pollard town, AL",31.022531,-87.17243
"Powell town, AL",34.530771,-85.895102
"Prattville city, AL",32.4617,-86.446691
"Priceville town, AL",34.524219,-86.885583
"Prichard city, AL",30.7731,-88.130673
"Providence town, AL",32.344452,-87.772103
"Ragland town, AL",33.748065,-86.136302
"Rainbow City city, AL",33.92975,-86.087374
"Rainsville city, AL",34.498776,-85.844933
"Ranburne town, AL",33.524874,-85.340155
"Red Bay city, AL",34.436126,-88.136336
"Red Level town, AL",31.404179,-86.608199
"Redstone Arsenal CDP, AL",34.684075,-86.654036
"Reece City town, AL",34.072433,-86.032368
"Reform city, AL",33.379561,-88.016697
"Repton town, AL",31.408806,-87.239761
"Ridgeville town, AL",34.057014,-86.103258
"River Falls town, AL",31.350363,-86.541895
"Riverside town, AL",33.611281,-86.207701
"Riverview town, AL",31.058462,-87.05672
"Roanoke city, AL",33.145335,-85.369345
"Robertsdale city, AL",30.552139,-87.707803
"Rockford town, AL",32.887588,-86.217227
"Rogersville town, AL",34.826241,-87.284514
"Rosa town, AL",33.98454,-86.508688
"Russellville city, AL",34.505909,-87.729164
"Rutledge town, AL",31.729032,-86.301687
"St. Florian town, AL",34.86565,-87.623827
"Saks CDP, AL",33.71129,-85.85376
"Samson city, AL",31.11221,-86.046604
"Sand Rock town, AL",34.232126,-85.770626
"Sanford town, AL",31.297556,-86.401696
"Saraland city, AL",30.820093,-88.098927
"Sardis City town, AL",34.176717,-86.113538
"Satsuma city, AL",30.8541,-88.061099
"Scottsboro city, AL",34.649346,-86.047376
"Section town, AL",34.581,-85.983823
"Selma city, AL",32.416084,-87.032952
"Selmont-West Selmont CDP, AL",32.378357,-87.006673
"Sheffield city, AL",34.75525,-87.701261
"Shiloh town, AL",34.465468,-85.877339
"Shorter town, AL",32.400754,-85.936607
"Silas town, AL",31.769209,-88.320906
"Silverhill town, AL",30.545174,-87.749023
"Sipsey town, AL",33.822068,-87.083053
"Skyline town, AL",34.802861,-86.123512
"Slocomb city, AL",31.110254,-85.594335
"Smiths CDP, AL",32.539794,-85.087215
"Smoke Rise CDP, AL",33.879865,-86.824469
"Snead town, AL",34.115874,-86.391528
"Somerville town, AL",34.474706,-86.801372
"Southside city, AL",33.903767,-86.021986
"South Vinemont town, AL",34.23614,-86.862592
"Spanish Fort CDP, AL",30.675242,-87.884589
"Springville town, AL",33.773623,-86.475147
"Steele town, AL",33.934,-86.197259
"Stevenson city, AL",34.870608,-85.833098
"Sulligent city, AL",33.8947,-88.131888
"Sumiton city, AL",33.753076,-87.048167
"Summerdale town, AL",30.483286,-87.700361
"Susan Moore town, AL",34.074059,-86.429739
"Sweet Water town, AL",32.10169,-87.867328
"Sylacauga city, AL",33.175958,-86.261318
"Sylvania town, AL",34.55979,-85.80757
"Sylvan Springs town, AL",33.512896,-87.030561
"Talladega city, AL",33.432048,-86.098001
"Talladega Springs town, AL",33.117523,-86.444543
"Tallassee city, AL",32.53516,-85.891439
"Tarrant city, AL",33.5937,-86.767888
"Taylor town, AL",31.164467,-85.46758
"Theodore CDP, AL",30.545539,-88.176647
"Thomaston town, AL",32.268081,-87.62361
"Thomasville city, AL",31.912389,-87.741895
"Thorsby town, AL",32.914998,-86.714133
"Tillmans Corner CDP, AL",30.585517,-88.19134
"Town Creek town, AL",34.672665,-87.408315
"Toxey town, AL",31.910129,-88.30805
"Trafford town, AL",33.823647,-86.746489
"Triana town, AL",34.594573,-86.744271
"Trinity town, AL",34.598597,-87.089825
"Troy city, AL",31.804118,-85.968163
"Trussville city, AL",33.635929,-86.593213
"Tuscaloosa city, AL",33.2377,-87.540979
"Tuscumbia city, AL",34.728667,-87.705652
"Tuskegee city, AL",32.437748,-85.711143
"Underwood-Petersville CDP, AL",34.876969,-87.69601
"Union town, AL",32.993425,-87.9055
"Union Grove town, AL",34.399996,-86.446062
"Union Springs city, AL",32.138811,-85.71366
"Uniontown city, AL",32.447029,-87.508459
"Valley city, AL",32.809037,-85.173016
"Valley Head town, AL",34.550803,-85.625819
"Vance town, AL",33.170926,-87.227909
"Vernon city, AL",33.75833,-88.113754
"Vestavia Hills city, AL",33.433567,-86.787559
"Vina town, AL",34.374267,-88.056546
"Vincent town, AL",33.38561,-86.40994
"Vredenburgh town, AL",31.823284,-87.317533
"Wadley town, AL",33.123346,-85.568594
"Waldo town, AL",33.390871,-86.035391
"Walnut Grove town, AL",34.064583,-86.287287
"Warrior city, AL",33.813913,-86.808203
"Waterloo town, AL",34.916709,-88.064174
"Waverly town, AL",32.736134,-85.57615
"Weaver city, AL",33.7556,-85.808576
"Webb town, AL",31.256622,-85.285645
"Wedowee town, AL",33.308498,-85.486532
"West Blocton town, AL",33.118109,-87.125824
"West End-Cobb Town CDP, AL",33.648156,-85.871219
"West Jefferson town, AL",33.648736,-87.067931
"Weston town, AL",34.162189,-88.030852
"West Point town, AL",34.238096,-86.948206
"Wetumpka city, AL",32.544192,-86.201761
"White Hall town, AL",32.300783,-86.714537
"Wilmer town, AL",30.825683,-88.359191
"Wilsonville town, AL",33.236035,-86.479006
"Wilton town, AL",33.082152,-86.881057
"Winfield city, AL",33.929853,-87.796085
"Woodland town, AL",33.374083,-85.39927
"Woodville town, AL",34.625248,-86.282166
"Yellow Bluff town, AL",31.959773,-87.482179
"York city, AL",32.495962,-88.296126
"Adak Station CDP, AK",51.8429,-176.640278
"Akhiok city, AK",56.97732,-154.217551
"Akiachak city, AK",60.87174,-161.403575
"Akiak city, AK",60.885659,-161.192264
"Akutan city, AK",54.136299,-165.786036
"Alakanuk city, AK",62.675611,-164.643602
"Alcan CDP, AK",62.722977,-141.188178
"Aleknagik city, AK",59.285485,-158.628962
"Allakaket city, AK",66.54517,-152.733117
"Ambler city, AK",67.076879,-157.918155
